person,title,rating,review,review_date
roaming_kiwi58,Probably the highlight of Patmos,50,"We were in Patmos for just a half day from a cruise ship. We did a tour which took us on a short drive around the island, stopping at the Cave of the Apocalypse and St John's Monastery.  The Monastery sits in a prominent position in the middle of the island. There are good views looking up to the monastery and also good views looking down when you get up there. The monastery looks more like a castle.  Modest dress is requested in the monastery, so cover your knees and shoulders. You are not allowed to take photos inside the museum, which is full of interesting artifacts. There is a short climb up the path to get into the monastery from the road where the bus dropped us off.  There are currently 16 monks living here.  Interesting place and definitely worth visiting.",4-Oct-19
Robert S,Worth a visit,40,Part of a cruise package and is a must for all visitors to Patmos.Excellent views and a good ambience in the village.,29-Sep-15
Rockport4,Beautiful Monastery,50,"After visiting the grotto where St. John was said to receive visions that dictated the Book of Revelations, we next visited this monastery. There is a bit of a climb to reach it so comfortable shoes and modest dress are both requirements. It is well worth the climb as there are wonderful frescos and a beautiful courtyard to just sit and meditate. There are also beautiful views from this fortress which was built to protect it against marauding pirates.",16-Oct-16
Ron R,Beautiful monastery.,50,"This the most imposing building on Patmos, being so large and situated on the highest point. The Greek architecture is well worth visiting for.",2-Jan-18
ronit182,A must see,50,Visiting patmos without going to this sacred place is meaningless. The church is a jewel by itself and the stunning part of the monastery is the museum rich in icons frescos and many other church items.,27-Apr-19
Rosalie P,Fascinating museum,50,"Situated on top of a hill in the old town, a really interesting old building, church with ancient frescoes and a museum.  Only 4 euros entrance fee and lots to see, some really interesting things. Also very worth while walking round the old town outside for really quaint little narrow streets.",14-Sep-18
rosalin101,Well worth a visit,50,"We were ready to dismiss this monastery as just another site, but it rreally is a lovely place. Breathtaking views, cool quiet courtyards, well tended pots of plants as well as antiquities, 'bling' and buckets of history. Don't miss it",12-Oct-14
Rose S,A VERY SPECIAL PLACE,50,"The Monastery of St.John is definitely worth seeing IF you are a religious and or history buff.    Of course, be sure to read about Patmos BEFORE embarking on your trip in order to get the most out of it. Do research. There's nothing worse than seeing these hugely historical sites and not understanding what you are seeing. Or, pay for a tour-guide.    The cave is the actual place where John of Patmos, wrote the book of the Revelation prior to 100 AD. You'll see a stone with a deep inlay where he wrote about his visions. Can you imagine the Voice of God coming to you coming to you from a rock? How would John have felt about it alone in this cave?    The church came later. So did the wall paintings and icons -- however, these are quite old from the beginning of AD to the 1500s. These too are well worth the trip.    The island is in the Aegean and in the height of summer the sky is a deep hue of blue.    One thing I would highly recommend is having a full water bottle.",26-Jun-13
SanFranciscoGuy634,Spectacular and Beautiful - Bali Hai,50,"You can see this historic monastery from many points in Patmos. It calls to you, like Bali Hai in South Pacific. Once you get close the rest of the pilgrimage is on foot through the historic surrounding town. This place has truly earned its  World Heritage Site designation. Do not miss it.",21-Oct-19
scouser1077,Highlight of our tour,50,"We had seen so many churches, cathedrals and monasteries we did not know what to expect. This is a wonderful place to visit if you ever get to this lovely city of Patmos. Very humbling, so much history beautiful location a pleasure to walk around without being hurried.",2-Nov-15
seattlesez,Monastery is a go but Cave is for super-devout only,40,"We rented a car at the place suggested by the cruise ship.  Keep your eyes open because it's easy to miss the turn toward the  monastery. Parking can be a challenge.    We made the Trek to the Cave but I have to say it was a mistake...  maybe half a mile down steps (and remember, you have to come back up!)    From the Monastery we went onto a pleasant lunch in Grikos.",12-Oct-15
serviceace,Top of the town,40,We took the bus up from the town and wandered up through the Chora until we reached the Monastery. On arrival a few people were sitting waiting and we discovered it didn't reopen until 1600hrs. Do check times if you are planning a visit. We are not particularly religious but we could appreciate the wonderful history of the monastery and the ornate chapel with the icons and artefacts. We also wandered through the museum which added to the sense of history.  Worth a visit and combine with a walk through the old streets and lanes of the Chora.,8-Sep-15
shadiatewfik,On the steps of St. Paul,50,During a trip with a group we visited this marvelous monastery. The location is hilarious that provides a panoramic view of the island. The church of the monastery is in perfect condition.,8-Sep-16
ShanthanS,"St. John's cave (Revelation of God), Patmos",50,We sailed via the Agean sea from Kusadasia to Samos and then took another ship to Patmos. Pythagoreion- Port in Samos has a difficult terrain and travelers should be aware of it. When travelling via ships and ferries it is better to limit your luggage as there are no trolleys in the ports. To visit St.John’s (Theologian) tomb it is better to go by taxi which will cost about Eur 5 oneway.  In Patmos we visited St. John's cave where he got the divine revelation. Patmos island is indeed a unique experience and good for relaxation.  Especially the Romeo hotel staff were very friendly (you feel like you are at home) and we had our daughter’s birthday celebrated in a wonderful day. Romeo hotel is a different style of rooms and is ideal for a summer vacation.  We arranged the whole tour from Turkey to Patmos and to Athens via Crossroads travels and would strongly recommend them for your tour as they are flexible and focused to meet customer’s expectations.,12-Aug-13
Sharon B,Nice castle like Byzantine structure,40,Patmos is the Jerusalem of the Agean Sea and the St. John's Monastery is definitely a must see. This huge structure looms in stark contrast to the gleaming white homes that rest below it's dark facade. It's quite amazing that the Monastery survived epic raids by Norman pirates in the 11th and 12th centuries.,24-Jan-16
Sheila C,AWESOME,50,It was just a surreal experience to visit the monastery of St. John and to know the history behind how the monastery was built. Enjoyed the tour very much,26-Aug-14
Sheila S,Beautifully decorated chapels,50,"We really enjoyed our visit, the interiors of the chapels were richly decorated & most impressive. It was a fascinating place to explore. Our guide gave us very good advice about taking photographs, don't even think about it inside chapels etc; but if you can see the sky above your head it is ok.",4-Nov-16
Sherrydarling,Beautiful place & informative museum,50,"We checked which day there would be no cruise ship in the port at Patmos & chose this day as our day to visit so that it would be less busy; in September this day was Monday. We look a taxi from the port which was about 8 Euros & we arrived at the monastery at 9am, there were no other visitors when we arrived. Dress needs to be respectful; my dress had short sleeves & covered my knees; my husband was wearing a short sleeved shirt & longer shorts.  The man at the ticket office gave us some helpful information & we had our own guide book which was useful for both the chapels & the museum. The museum is full of treasures; don't miss the top floor & the instructions to capture pirates!  After leaving the monastery we walked to the windmills, stopped for a coffee & then followed the path of culture down the hill, through tress with some shade, to the Cave of the Apocalypse. After visiting the cave we continued following the path back down to Skala, this took about 20 minutes from the cave. I think we were back at the port at around 1.15pm.",15-Sep-19
Simon W,VERY INTERESTING HISTORIC MONASTERY,50,"Very old - it possesses a charter from Emperor Alexios I Comnenos. Beautiful decorations on almost every available wall and ceiling, devoted to telling the Christian story and in particular the work of St John the Divine. Bear in mind that this is a religious house and so modest clothing is recommended.",28-Sep-19
skaliotis,A real gem Reaching for the Skies !,50,"The Monastery of Saint John the Theologian Build in 1088. World Heritage side.  A beautiful gem in the Aegean ! A must see side when on Patmos island.  It was build like a castle in order to defend it's self from the threats of piracy.  There are so many beautifully written manuscripts. Among it's relics the skull of Saint Thomas the Apostle and Saint Philip the Apostle.  you can see the monastery from every corner of the island, looks like it is touching the skies ! if you do not mind a climb, it's a beautiful walk, following a footpath from Skala to Chora. Walking through the narrow streets of Chora you can reach the Monastery.On your way Up, you can also visit the Cave of Revelations.  No photographs allowed inside at both the Cave and the Monastery.  Once up the top, you are surrounded by beautiful views of the island .  Outside the Monastery you can visit the small friendly coffee shop for a Greek coffee or a drink.  The best way to visit both sides is to go on your own and early,so that you can spend the time you need to absorbed all. My Soul was touched at both sides !  Looking forward to visit again in the future.",27-May-19
snezana9,Back to the past,50,The first thing you notice on Patmos is the monastery of St John the Divine or the Evangelist. It's nice to be a part of history at least in this way...A trip for us who stayed at Samos who is worthy and who is remembering...,5-Feb-18
Sorin D,Monastery,40,The Saint John Monastery has an important library; the museum is beautiful and very interesting (entry 6 euro). You can view some manuscripts of the first centuries of our era. The cave of the apocalypse also must be visited. The way to the monastery is not easy per pedes (the bus or taxi are recommended). Other monastery is Zoodochos Pigi.  Many restaurants in Mandraki.,12-Jul-13
soulefultraveler,Even if you don't like monasteries . . .,50,"This one is worth the trip. Wonderful location with fabulous views. Still a working monastery. Historical rooms in the museum, plus a nice collection of treasures. It is a steep walk, with a few nice shops on the road up. Worth the climb, but go early in the day to avoid the heat.",9-Jul-15
Steve_OldOkie,Historic,50,"Another stop with the Gate 1 Travel group, we visited the Patmos cave where it's reported St. John wrote his book. We were the first group of the day & were fortunate to sit in the cave as the docent detailed the history associated with the cave and described the artifacts in the cave. No photography was allowed inside but my memory of the cave remains vivid.",24-May-17
stevesR4968IQ,Cave of John,50,"Anyone who is a Bible Scholar or wants to have a tangible experience with the Beloved Disciple, you can't pass up this experience",30-Jun-15
susanwalsh,Superb,50,We were very fortunate to get to the monastery on a day when it was quiet. The church is vey beautiful and the side chapels with the skulls of St Thomas and St Philippos very moving. The museum is a must with amazing exhibits.,8-Jul-19
svetlanap714,Denny's Oz Angels,50,"To walk through and see the Monastery on its glory, is priceless. The church within Monastery is breathtaking, the serenity within the walls of the Monastery is wonderful and the view from the roof top of the whole island is beautiful. Add to that the museum and the history and it is a must see attraction.",5-Jan-17
Tafart,A Journey in Time,50,Walk up to Chora and visit this Monastery. The museum was very interesting. It has a lot for visitors to learn about the island's history.,7-Aug-19
takisdro,Must see!,50,"Very organised,they also give tours by the people living there,tremendous historical and religion importance.    Even the location is perfect,where you can relax at the cafe's and restaurants nearby.    Parking if you have your own car could be a little problem.",10-Aug-17
tamio642,Worth the walk,40,"Cool building with loads of hidden treasures. Loved walking around imagining life of the past. Quite a walk to get here, but otherwise would recommend.",22-Apr-18
tapiwam2013,Paradise on Earth,50,"It felt like i was taken back in time as we went off season it was quiet love the way it was all so well maintained, when you payed you felt the money was going to good use. This was un assuming but felt so in touch with my spiritual self the highlight of my visit well worth the visit.",20-Oct-16
tastydelight,Bring your walking shoes,50,"We took a taxi from Chora and began the assent to the Monastery. It's worth the climb. The old frescos are still seen and the museum or library is worth its weight in gold. The books, manuscripts, vestments, jewelry and more are amazing.",13-Sep-16
Tekin O,A holly monaster in Orthodox world,40,It is worth seeing. A lot of religion related groups coming all over the world to visit this monaster.,5-Sep-13
Tenchsweep,A must visit ...,40,We found the monastery to be of much interest. It's a beautiful spot with excellent views. The actual area that you can visit is quite small though so unless you are the reflective type you might be in and out quite quickly. Glad we went though. Some interesting stuff in the museum.,7-Sep-17
terrib374,One of the major sitesmof Christendom!,50,"This wonderful 11th century Monastery is a must visit on Patmos Island. It is one of the most important sites in Christendom and is a joy to wander around. Wonderful frescoes as well as a museum full of icons, illuminated parchments and much much more.",3-Oct-15
tjm_94,Amazing,40,Thousand year old monastery brilliantly preserved with treasures from the ancient and medieval world. Stunning iconography and amazing relics that can only be found here. Overall an awesome experience,6-Jul-14
Todd G,Perpetual history,50,Another one that you'll need a guide for... breathtaking views of the island. The monastery itself is a working one with tremendous history. Lots of nooks and crannies to explore. Take your time here.,28-Oct-19
togher64,Do the same walk,40,"Well worth the climb to the top of Chora (Hora) old town to see these amazing buildings, you will still see the priests going about their day. Please be respectful and ensure appropriate dress is worn, women cover shoulders and below their knees. £2 to enter the museum also worth checking out. After leaving take in the windmills, then follow the ancient path down to the grotto. Also only £2 for entry. However, ensure you visit between 830 and 1330 as these venues then shut. I believe in summer opening hours are extended.  There is also a bus service to the monastery, which runs morning and evening. If you should catch a cab be warned they don't appear to use meters, so negotiate price before departing.",5-Jun-15
TomazSlo,Suprised,50,"Monastery has something to show, like old pergaments and scripts. Also architecture of monastery is simpatic",7-Sep-18
Travel_ExperiencesS,A beautiful monastery,50,"Has amazing view and totally worth a visit. Very peaceful place, offers the ultimate spiritual tranquility. Also church has a great architecture",29-Jun-17
travellistics,Small Museum,30,"If you happen to be in Patmos you should visit the Monastery . Great Views, Museum is Small but its the best thing to do in Patmos",16-Oct-15
Turigal,Incredible! You must see it to believe it!,50,"I always wonder how they built these huge churches and monasteries so many years ago, and this one is amazing! Check the times before traveling up to the monastery, since the hours change, but this is a must-see on this beautiful island!",18-Jul-15
U9606EJalexc,What an amazing place.,50,"A very challenging climb from Skala brings you to Chora, right at the heart of which is this wonderful monastery. Set in what looks like an ancient castle (which was built on the grounds of an even more ancient temple) it houses a beautiful church as well as a small museum, it is home to some extremely precious artefacts which are looked after by some highly knowledgeable people who are more than happy to share information.  Be respectful and cover up a little and you will be made to feel most welcome. Breathtaking views from the high points.  St John is all important to Patmos- a stay on the island would not be complete without visiting this monastery. (Check opening times - you don’t want to make the climb only to find it closed!)",24-Aug-18
VacationerGR-1978,Much more than just.... a must,50,"The Monastery of St.John stands above the village of Chora, like being the master of the island (which perhaps is). This Castle-Monastery has a unique architecture, offering breathtaking view to the whole island.  Inside you can visit the Holly Temple dated in the fifteen hundreads, enter the museum (ticket 2 euros) and see a magnificent collection of jeweled alices, crowns, Crosses, old writings dating back as far 1073, icons and religious paintings including an original El Greco.  I had the chance to visit this monastery twice during my stay in Patmos. The first visit was to see all those treasures, enjoy the view and architecture and light a candle at the church. My second visit was on Good Saturday night for Resurrection, on a great devotion. Simply unforgetable",11-May-13
Vagabondage,Physically challenging but wouldn't have missed it.,50,"As both a practicing Christian (Protestant) and a historian I had wanted for years to visit this site a millennium of pilgrims have regarded as sacred. I wanted to wait till we were retired and so could be there for Holy Week, as Easter is Greece's most solemn and festive celebration. Last week we finally did it and loved the experience.    The monastery itself, with its Byzantine architecture, wonderful frescoes, impressive lanterns, crosses, censers, chalices and the like, and its sonorous bell peals was very moving, as was watching many locals and pilgrims from afar kissing the icons and lighting candles for loved ones. The treasury/museum was impressive, with ancient manuscripts of Aristotle and Aristophanes as well as sacred documents, exquisite handmade liturgical vestments and icons including one said to be by El Greco. The day we were there, high school boys from Skala were carrying the monastery's icons throughout the surrounding neighborhood, followed by a kindly papa (priest) blessing every person and building. The central square was strewn with fragrant sprigs of Spanish lavender, which many of the locals and pilgrims took home bits of to hang in their homes or cars.    I have to say that as a person with mobility and cardiac issues (I temporarily use a cane and am prone to lightheadedness during exertion), getting up to the monastery and exploring the delightful historic village of Chora which surrounds it were quite difficult for me and required frequent pauses to rest. There are lots of steps and many uneven cobblestones. We were so tuckered out after we left that we took a 3 hour nap (!!), and four days later I am still stiff and sore. I frankly don't know if/how a person in a wheelchair could manage it.    But for us, the experience was more than worth it.",10-May-13
Victoria D,Patmos Highlights,40,"We visited the Cave of the Apocalypse and the Monastery. I am soooo glad we decided to to use True Greece's suggestion to do a tour. We had a private tour and it was so worth the money. Nikolaus, our guide, was so very pleasant, informed, and made the trip so interesting. There is an element you miss if you just visit these sites without a guide.    And the history and atmosphere of being in such a spiritual and historical place was a wonderful experience. Don't miss seeing this on your visit.",4-Aug-14
Villeneuve1959,Late season visit,40,"Understand that this attractioncan be very busy in the summer, but could soak in the atmosphere on a visit in mid-October with only one other couple there at the same time.  Impressive collection of ancient manuscripts and othe ecclesiastical treasures on display, and a few chapels possible to see, highly decorated with frescos of variable age. The building dominates the old town with a castle-like structure, but is interesting and quirky architecturally on the inside. Think they could have had more information on the monastic life that continues inside, but a must visit when in Patmos.",19-Oct-15
virginiatraveler2015,Beautiful paintings and great views,40,Lovely paintings adorn the walls outside the sanctuary. There were beautiful views as well. The museum had some very interesting artifacts. Even the hike up the hill was nice.,14-Aug-15
viviennenkeitha,Disappointed,20,Religious through n through Were is the Christian element its very hidden I feel this place is nice over the top & has a great view Go to the Cave 100 times better Not worth it in our opinion,26-Dec-15
VW49,Plenty to see in the monastery and museum,40,"Our visit was an excursion from a cruise ship which had several busloads of people converging on the monastery. But even with the crowd, it was well worth it to see the monastery and spend time in the museum which had excellent exhibits. As a bonus, we arrived late afternoon and the sunset views from the monastery/hilltop were so spectacular. Some uphill walking is required to get there.",26-May-16
wendy p,A very interesting visit,40,"This was a very quick stop as the group was also visiting other places on Patmos. Our guide was very good with a good clear voice, very informative. Quite a few steps to negotiate if you are thinking of seeing this cave.",6-Jun-15
WJD_CO,"Tremendous experience, Amazing Mammoth Structure Dominates the Hilltop",40,"This is worth the climb and visit. It sits on top of the hill, there are many shops and restaurants that have a great view of the port and sea, and it is simply a breathtaking and beautiful site with incredible architecture. Visit the cave nearby where John wrote the book of Revelation.",3-Oct-17
wmccfp,Worth the climb,50,Whether you're a fan of the ornate church or not the views are absolutely worth the walk up the hill. The town around the monastery is worth walking through to get a sense of simpler times and simpler lives. Easy to see why their was immense effort to bring materials up to build the whole complex.,10-Nov-17
wtpoohb,Beautiful,40,"This is a beautiful monastery atop the hill in Patmos. The building itself is amazing. The views are stunning. We had a wonderful tour guide leading us through the monastery. She was very informative. The only downside was the number of people in the building. The other tourists were just plain rude. We even had a lady attempt to push a couple of us out of her way so she could get in to see something. We were a group and her group was behind our group. I’m not sure if the massive crowds are common or just when we were there. It did make it difficult to really soak up the atmosphere with so many people. Overall, it was a wonderful experience.",4-Jun-18
X292EHchrisg,Must see,40,"A visit to the monastery and surrounding village of Chora is definitely a must when visiting Patmos.  Hiring a scooter is the best way to get there in the summer season as it's very hot walking up the hill. The monastery is in it's original state, and it's museum has very old chalkies and artefacts dating centuries. A maze of narrow streets takes you through the surrounding village. The views ate amazing. Look out over Patmos and the surrounding islands.",28-Sep-14
xxxasia,Worth a visit but not a lot open to the public,40,"Rather unfortunately we arrived at the same time as a large cruise ship from Cyprus full of pilgrims! So the place was noisy and heaving. The only parts open are the chapel and museum, both beautfully maintained with ancient frescos and artifacts. Some tips:  1. Bone up in advance about the history of St John, the Revelations, the building of the monastery and the development of the surrounding Chora (interesting for its successive influx of immigrants from Crete and Constantinople). Makes the experience so much more meaningful. We took a 3 guided hour walk up to the Chora in advance with Antonis Dimas - he does private tours in Patmos and was able to explain the whole history of the island in a most entertaining way.  2. Go early morning (open at 8 am) or late afternoon (closes at 6pm but not open every afternoon). Definitely avoid going just after a cruise ship has docked!  3. Take bus up, only €1.50 from the Skala bus stand at the port opposite the police station. The bus also picks up passengers en route at Grikos. Check bus timetable at very helpful tourist agent Astoria in main port (who also sells ferry tickets). From the bus you get wonderful views over both sides of the island.  4. Spend some time wandering through the alleys in the Chora. The main square has some bars and restaurants. Very atmospheric.  5. If you decide to walk down to Skala port, then wear shoes with good grip and take the old cobbled road which cuts out the hairpins. Lovely views down but slippery underfoot.  6. It is a working monastery with 15 monks. Women need to wear respectful clothing covering knees and shoulders. Men need to take off hats.",16-Jun-13
Yiannakis,Beautiful Monastery,50,"Beautiful Monastery that reveals so much Christian history. Founded in the Eleventh Century, this is a treasure of the faith. See the main chapel and the museum.  A basic understanding of Eastern Orthodox worship and theology would be tremendously helpful before going. A tour guide is recommended to ensure that you don't miss anything!",25-Jul-15
zebecToronto,A wonderful place to engage spirituality,40,"We were the first through the doors and although not Christian, had a special experience. We tried very hard to show respect throughout, not venturing where prohibited and whispering always in hushed tones. The Russian women who arrived a half hour after us did not seem to feel the same way and shouted to each other repeatedly across the property. I nearly confronted them for their arrogance. Of course, staff beat me to that. We would like to have reieved more respect from staff ourselves. They were vague when asked about liturgical services dates/times, despite the fact that we were renting a house from them. One male staffer on the main floor also mocked our efforts to document the property photographically, not realizing that we speak and understand a little Greek. Shame that both lookout vistas at the 'primahiolia' belfrey tower and also the museum terrace are now closed to visitors. They were once the amongst the very best sunrise points on patmos. Whatever. You will love this place especially if you come right at opening time. *The opening hours posted both on the large official poster just to the left of the entry and also reproduced in tourism pamphlets are incorrect. Perhaps this might be remedied by those in high places? *BTW, the 'Byzantine Icons' shop run by friendly Costas just at the bottom of the entry ramp sells top quality art reproduction souvenirs and more. His products include religious paintings done by actual monks themselves. Visitors may want to read Jeffrey Siger's 'Midnight in Patmos' crime novel beforehand. Take my advice and also give a listen to acoustic guitarist Don Ross' oh-so evocative masterpiece 'Patmos', from his CD 'Bearing Straight'. Genius. Also, know that the homes just behind the Monastery are the oldest quarter of Chora. Rumour has it that some very famous folks own holiday homes there, including Ziggy Stardust, Forrest Gump plus Erin Brokovich. I am done. The end.",13-Oct-14
